S_no,name,product_url,price,num_sold,num_reviews,Seller,Seller_rating,item_num,viewers,image_url,num_bold,color,discount(%),Shipping
5095," Mistborn: The Hero of Ages 3 by Brandon Sanderson (2014, Paperback)",http://www.ebay.com/itm/Mistborn-The-Hero-of-Ages-3-by-Brandon-Sanderson-2014-Paperback-/112415166724?hash=item1a2c775104:g:dVEAAOSwY3BZIk7k,1,0,0,debrberk0,100,112415166724,0,http://i.ebayimg.com/images/g/dVEAAOSwY3BZIk7k/s-l300.jpg,1,0,0,"
						$15.00
						"
5096, THE CIDER HOUSE RULES by John Irving 0 paperback book a of,http://www.ebay.com/itm/THE-CIDER-HOUSE-RULES-by-John-Irving-FREE-SHIPPING-paperback-book-a-of-/282377201593?hash=item41befe27b9:g:xb8AAOSw4GVYPN7b,0,0,0,explorersmarket,98.6,282377201593,1,http://i.ebayimg.com/00/s/NTAwWDMzMw==/z/CD0AAOSwCQZZHeUO/$_35.JPG?set_id=89040003C1,0,0,55,"
                  		0
              		"
5097," The Bishop's Family: The Quieting : A Novel 2 by Suzanne Woods Fisher (2016,...",http://www.ebay.com/itm/The-Bishops-Family-The-Quieting-A-Novel-2-by-Suzanne-Woods-Fisher-2016-/361987325539?hash=item5448203e63:g:B1AAAOSwx6pYn3mk,2,0,1,68oldtimer12,99.7,361987325539,0,http://i.ebayimg.com/00/s/NTAwWDMyMw==/z/B1AAAOSwx6pYn3mk/$_35.JPG?set_id=89040003C1,0,0,0,NA
5098," CUJO by Stephen King, First Edition/1st Printing Hardcover 1981",http://www.ebay.com/itm/CUJO-by-Stephen-King-First-Edition-1st-Printing-Hardcover-1981-/322520402297?hash=item4b17b6c979:g:XGcAAOSwjL5ZHP5l,16,0,0,jm-flip,100,322520402297,1,http://i.ebayimg.com/images/g/XGcAAOSwjL5ZHP5l/s-l300.jpg,0,0,0,"
                  		0
              		"
5099, Smart As The Devil by Felice Picano ( Hardcover 1st Edition),http://www.ebay.com/itm/Smart-As-The-Devil-by-Felice-Picano-Hardcover-1st-Edition-/222345303164?hash=item33c4d0147c:g:Ic4AAOSw241YUJWp,20,0,0,donotchangeuserid,100,222345303164,0,http://i.ebayimg.com/images/g/Ic4AAOSw241YUJWp/s-l300.jpg,0,0,0,"
                  		0
              		"
5100, ZOO a paperback epic novel by the  James Patterson 0 ,http://www.ebay.com/itm/ZOO-a-paperback-epic-novel-by-the-James-Patterson-FREE-SHIPPING-/282249222480?hash=item41b75d5950:g:3r4AAOxydINSX3VM,0,0,10,explorersmarket,98.6,282249222480,1,http://i.ebayimg.com/00/z/3r4AAOxydINSX3VM/$T2eC16hHJIcFHN+33m3vBS(3VMCY7g~~_35.JPG?set_id=89040003C1,0,0,55,"
						$14.00
						"
5101," Sign of the Unicorn by Roger Zelazny (Signed First Edition, Hardcover in Jacket)",http://www.ebay.com/itm/Sign-of-the-Unicorn-by-Roger-Zelazny-Signed-First-Edition-Hardcover-in-Jacket-/152422730236?hash=item237d1a49fc:g:AecAAOSwo4pYlPB-,150,0,0,theladyandthebookman,100,152422730236,1,http://i.ebayimg.com/images/g/AecAAOSwo4pYlPB-/s-l300.jpg,0,0,0,"
						$39.99
						"
5102, The Well Of Loneliness By Radclyffe Hall - Peagasus Press 1929 Paris,http://www.ebay.com/itm/The-Well-Of-Loneliness-By-Radclyffe-Hall-Peagasus-Press-1929-Paris-/272681367001?hash=item3f7d1375d9:g:yu8AAOSwhvFZD7-w,6,0,1,flip-your-wig,100,272681367001,0,http://i.ebayimg.com/images/g/yu8AAOSwhvFZD7-w/s-l300.jpg,0,0,0,"
                  		0
              		"
5103," The Bonfire of the Vanities by Tom Wolfe (1988, Paperback)",http://www.ebay.com/itm/The-Bonfire-of-the-Vanities-by-Tom-Wolfe-1988-Paperback-/302324256169?hash=item4663ee0da9:g:VSsAAOSwj85YPR1v,1,0,4,bir-do0,100,302324256169,0,http://i.ebayimg.com/00/s/NTAwWDMwNQ==/z/VSsAAOSwj85YPR1v/$_35.JPG?set_id=89040003C1,0,0,0,NA
5104, A Book of Common Prayer by Joan Didion 1st EDITION,http://www.ebay.com/itm/A-Book-of-Common-Prayer-by-Joan-Didion-1st-EDITION-/222492796857?hash=item33cd9aa7b9:g:gmoAAOSwrhBZBL7H,0,0,0,mystery547,100,222492796857,1,http://i.ebayimg.com/images/g/gmoAAOSwrhBZBL7H/s-l300.jpg,0,0,22,NA
5105, LOT OF 6 James Patterson Private Series MYSTERY BOOKS PB,http://www.ebay.com/itm/LOT-OF-6-James-Patterson-Private-Series-MYSTERY-BOOKS-PB-/302325300273?hash=item4663fdfc31:g:yqkAAOSwjL5ZJo64,13,0,0,mary4107,100,302325300273,0,http://i.ebayimg.com/images/g/yqkAAOSwjL5ZJo64/s-l300.jpg,0,0,0,"
                  		0
              		"
5106, 1984 1st Edition Book - The Tree of Hands by Ruth Rendell,http://www.ebay.com/itm/1984-1st-Edition-Book-The-Tree-of-Hands-by-Ruth-Rendell-/172650378096?hash=item2832c3b370:g:l48AAOSw9N1VvTnU,6,0,0,littleshopofbooks2012,100,172650378096,1,http://i.ebayimg.com/images/g/l48AAOSw9N1VvTnU/s-l300.jpg,0,0,0,"
						$19.00
						"
5107," Dark of the Moon 1 by John Sandford (2007, Hardcover) Fiction Book Drama Mystery",http://www.ebay.com/itm/Dark-of-the-Moon-1-by-John-Sandford-2007-Hardcover-Fiction-Book-Drama-Mystery-/401324515381?hash=item5d70ce2035:g:lBcAAOSwu-BWO~3c,10,0,8,bomber_peak,100,401324515381,0,http://i.ebayimg.com/images/g/lBcAAOSwu-BWO~3c/s-l300.jpg,0,0,0,"
						$20.00
						"
5108," The Heart of the Matter by Graham Greene (1999, Paperback)",http://www.ebay.com/itm/The-Heart-of-the-Matter-by-Graham-Greene-1999-Paperback-/162525263980?hash=item25d742b86c:g:AlAAAOSww9xZGdrf,5,0,0,four0315,100,162525263980,0,http://i.ebayimg.com/images/g/AlAAAOSww9xZGdrf/s-l300.jpg,0,0,0,"
						$20.00
						"
